student_id,navigation_patterns_between_planets_and_activities,number_of_help_requests
851,FindIt - RewordIt,4
852,AskIt - SummarizeIt,2
853,FindIt - ExplainIt,10
854,SummarizeIt - RewordIt,8
855,AskIt - FindIt,6
856,SummarizeIt - ExplainIt,3
857,AskIt - FindIt,9
858,RewordIt - SummarizeIt,5
859,AskIt - ExplainIt,10
860,AskIt - SummarizeIt,3
861,ExplainIt - SummarizeIt,6
862,ExplainIt - SummarizeIt,10
863,AskIt - FindIt,6
864,AskIt - FindIt,9
865,ExplainIt - RewordIt,9
866,RewordIt - ExplainIt,6
867,AskIt - ExplainIt,5
868,AskIt - ExplainIt,2
869,RewordIt - ExplainIt,8
870,ExplainIt - RewordIt,1
871,AskIt - FindIt,4
872,RewordIt - SummarizeIt,10
873,ExplainIt - AskIt,3
874,SummarizeIt - RewordIt,3
875,SummarizeIt - FindIt,9
876,FindIt - SummarizeIt,8
877,RewordIt - AskIt,8
878,SummarizeIt - ExplainIt,2
879,FindIt - SummarizeIt,7
880,FindIt - SummarizeIt,2
881,FindIt - ExplainIt,1
882,SummarizeIt - FindIt,3
883,RewordIt - ExplainIt,1
884,AskIt - SummarizeIt,1
885,RewordIt - FindIt,9
886,FindIt - RewordIt,2
887,FindIt - RewordIt,4
888,SummarizeIt - FindIt,5
889,SummarizeIt - FindIt,6
890,SummarizeIt - RewordIt,5
891,FindIt - RewordIt,10
892,SummarizeIt - RewordIt,7
893,FindIt - ExplainIt,4
894,RewordIt - AskIt,7
895,FindIt - SummarizeIt,10
896,AskIt - RewordIt,9
897,AskIt - FindIt,4
898,RewordIt - SummarizeIt,8
899,RewordIt - SummarizeIt,2
900,SummarizeIt - AskIt,2
901,ExplainIt - AskIt,7
902,ExplainIt - FindIt,10
903,SummarizeIt - ExplainIt,2
904,RewordIt - SummarizeIt,1
905,AskIt - FindIt,2
906,SummarizeIt - ExplainIt,8
907,AskIt - ExplainIt,7
908,FindIt - ExplainIt,9
909,ExplainIt - RewordIt,9
910,RewordIt - ExplainIt,3
911,RewordIt - AskIt,3
912,ExplainIt - RewordIt,1
913,FindIt - AskIt,4
914,SummarizeIt - FindIt,3
915,RewordIt - ExplainIt,6
916,ExplainIt - AskIt,1
917,FindIt - ExplainIt,8
918,RewordIt - FindIt,6
919,SummarizeIt - ExplainIt,4
920,SummarizeIt - FindIt,1
921,RewordIt - SummarizeIt,3
922,SummarizeIt - AskIt,8
923,RewordIt - ExplainIt,7
924,RewordIt - FindIt,5
925,FindIt - AskIt,8
926,RewordIt - ExplainIt,8
927,AskIt - ExplainIt,4
928,RewordIt - SummarizeIt,1
929,AskIt - ExplainIt,5
930,AskIt - ExplainIt,4
931,AskIt - SummarizeIt,4
932,FindIt - SummarizeIt,1
933,FindIt - RewordIt,8
934,ExplainIt - SummarizeIt,4
935,SummarizeIt - ExplainIt,6
936,SummarizeIt - ExplainIt,1
937,AskIt - ExplainIt,6
938,RewordIt - ExplainIt,4
939,ExplainIt - FindIt,8
940,AskIt - RewordIt,3
941,FindIt - AskIt,4
942,ExplainIt - RewordIt,10
943,FindIt - ExplainIt,7
944,FindIt - RewordIt,10
945,AskIt - SummarizeIt,1
946,SummarizeIt - AskIt,8
947,FindIt - RewordIt,6
948,RewordIt - SummarizeIt,1
949,SummarizeIt - FindIt,2
950,RewordIt - ExplainIt,4
951,SummarizeIt - AskIt,6
952,RewordIt - AskIt,2
953,FindIt - RewordIt,4
954,AskIt - ExplainIt,2
955,FindIt - RewordIt,5
956,RewordIt - ExplainIt,7
957,RewordIt - AskIt,3
958,SummarizeIt - RewordIt,4
959,SummarizeIt - RewordIt,3
960,ExplainIt - FindIt,8
961,RewordIt - ExplainIt,4
962,RewordIt - SummarizeIt,7
963,RewordIt - AskIt,4
964,RewordIt - FindIt,5
965,ExplainIt - FindIt,10
966,ExplainIt - FindIt,10
967,AskIt - SummarizeIt,8
968,AskIt - RewordIt,3
969,RewordIt - ExplainIt,6
970,RewordIt - AskIt,2
971,SummarizeIt - FindIt,3
972,FindIt - RewordIt,7
973,FindIt - SummarizeIt,6
974,AskIt - ExplainIt,3
975,SummarizeIt - FindIt,9
976,RewordIt - SummarizeIt,10
977,AskIt - FindIt,1
978,AskIt - ExplainIt,4
979,FindIt - ExplainIt,4
980,ExplainIt - FindIt,9
981,AskIt - SummarizeIt,1
982,FindIt - RewordIt,5
983,FindIt - SummarizeIt,7
984,RewordIt - AskIt,1
985,ExplainIt - SummarizeIt,5
986,AskIt - SummarizeIt,4
987,RewordIt - FindIt,7
988,AskIt - FindIt,4
989,FindIt - ExplainIt,9
990,RewordIt - SummarizeIt,4
991,SummarizeIt - RewordIt,10
992,FindIt - RewordIt,10
993,RewordIt - AskIt,8
994,SummarizeIt - AskIt,1
995,SummarizeIt - ExplainIt,2
996,ExplainIt - FindIt,1
997,SummarizeIt - FindIt,2
998,ExplainIt - AskIt,6
999,SummarizeIt - FindIt,2
1000,RewordIt - ExplainIt,4
